Date,Month,Year,Month Name,Quarter,IsWeekend
1/1/2024,1,2024,January,1,No
1/2/2024,2,2024,January,1,No
1/3/2024,3,2024,January,1,No
1/4/2024,4,2024,January,1,No
1/5/2024,5,2024,January,1,No
1/6/2024,6,2024,January,1,Yes
1/7/2024,7,2024,January,1,Yes
1/8/2024,8,2024,January,1,No
1/9/2024,9,2024,January,1,No
1/10/2024,10,2024,January,1,No
1/11/2024,11,2024,January,1,No
1/12/2024,12,2024,January,1,No
1/13/2024,13,2024,January,1,Yes
1/14/2024,14,2024,January,1,Yes
1/15/2024,15,2024,January,1,No
1/16/2024,16,2024,January,1,No
1/17/2024,17,2024,January,1,No
1/18/2024,18,2024,January,1,No
1/19/2024,19,2024,January,1,No
1/20/2024,20,2024,January,1,Yes
1/21/2024,21,2024,January,1,Yes
1/22/2024,22,2024,January,1,No
1/23/2024,23,2024,January,1,No
1/24/2024,24,2024,January,1,No
1/25/2024,25,2024,January,1,No
1/26/2024,26,2024,January,1,No
1/27/2024,27,2024,January,1,Yes
1/28/2024,28,2024,January,1,Yes
1/29/2024,29,2024,January,1,No
1/30/2024,30,2024,January,1,No
1/31/2024,31,2024,January,1,No
2/1/2024,1,2024,February,1,No
2/2/2024,2,2024,February,1,No
2/3/2024,3,2024,February,1,Yes
2/4/2024,4,2024,February,1,Yes
2/5/2024,5,2024,February,1,No
2/6/2024,6,2024,February,1,No
2/7/2024,7,2024,February,1,No
2/8/2024,8,2024,February,1,No
2/9/2024,9,2024,February,1,No
2/10/2024,10,2024,February,1,Yes
2/11/2024,11,2024,February,1,Yes
2/12/2024,12,2024,February,1,No
2/13/2024,13,2024,February,1,No
2/14/2024,14,2024,February,1,No
2/15/2024,15,2024,February,1,No
2/16/2024,16,2024,February,1,No
2/17/2024,17,2024,February,1,Yes
2/18/2024,18,2024,February,1,Yes
2/19/2024,19,2024,February,1,No
2/20/2024,20,2024,February,1,No
2/21/2024,21,2024,February,1,No
2/22/2024,22,2024,February,1,No
2/23/2024,23,2024,February,1,No
2/24/2024,24,2024,February,1,Yes
2/25/2024,25,2024,February,1,Yes
2/26/2024,26,2024,February,1,No
2/27/2024,27,2024,February,1,No
2/28/2024,28,2024,February,1,No
2/29/2024,29,2024,February,1,No
3/1/2024,1,2024,March,1,No
3/2/2024,2,2024,March,1,Yes
3/3/2024,3,2024,March,1,Yes
3/4/2024,4,2024,March,1,No
3/5/2024,5,2024,March,1,No
3/6/2024,6,2024,March,1,No
3/7/2024,7,2024,March,1,No
3/8/2024,8,2024,March,1,No
3/9/2024,9,2024,March,1,Yes
3/10/2024,10,2024,March,1,Yes
3/11/2024,11,2024,March,1,No
3/12/2024,12,2024,March,1,No
3/13/2024,13,2024,March,1,No
3/14/2024,14,2024,March,1,No
3/15/2024,15,2024,March,1,No
3/16/2024,16,2024,March,1,Yes
3/17/2024,17,2024,March,1,Yes
3/18/2024,18,2024,March,1,No
3/19/2024,19,2024,March,1,No
3/20/2024,20,2024,March,1,No
3/21/2024,21,2024,March,1,No
3/22/2024,22,2024,March,1,No
3/23/2024,23,2024,March,1,Yes
3/24/2024,24,2024,March,1,Yes
3/25/2024,25,2024,March,1,No
3/26/2024,26,2024,March,1,No
3/27/2024,27,2024,March,1,No
3/28/2024,28,2024,March,1,No
3/29/2024,29,2024,March,1,No
3/30/2024,30,2024,March,1,Yes
3/31/2024,31,2024,March,1,Yes
12/8/2023,8,2023,December,4,No
12/9/2023,9,2023,December,4,Yes
12/10/2023,10,2023,December,4,Yes
12/11/2023,11,2023,December,4,No
12/12/2023,12,2023,December,4,No
12/13/2023,13,2023,December,4,No
12/14/2023,14,2023,December,4,No
12/15/2023,15,2023,December,4,No
12/16/2023,16,2023,December,4,Yes
12/17/2023,17,2023,December,4,Yes
12/18/2023,18,2023,December,4,No
12/19/2023,19,2023,December,4,No
12/20/2023,20,2023,December,4,No
12/21/2023,21,2023,December,4,No
12/22/2023,22,2023,December,4,No
12/23/2023,23,2023,December,4,Yes
12/24/2023,24,2023,December,4,Yes
12/25/2023,25,2023,December,4,No
12/26/2023,26,2023,December,4,No
12/27/2023,27,2023,December,4,No
12/28/2023,28,2023,December,4,No
12/29/2023,29,2023,December,4,No
12/30/2023,30,2023,December,4,Yes
12/31/2023,31,2023,December,4,Yes
4/1/2024,1,2024,April,2,No
4/2/2024,2,2024,April,2,No
4/3/2024,3,2024,April,2,No
4/4/2024,4,2024,April,2,No
4/5/2024,5,2024,April,2,No
4/6/2024,6,2024,April,2,Yes
4/7/2024,7,2024,April,2,Yes
4/8/2024,8,2024,April,2,No
4/9/2024,9,2024,April,2,No
4/10/2024,10,2024,April,2,No
4/11/2024,11,2024,April,2,No
4/12/2024,12,2024,April,2,No
4/13/2024,13,2024,April,2,Yes
4/14/2024,14,2024,April,2,Yes
4/15/2024,15,2024,April,2,No
4/16/2024,16,2024,April,2,No
4/17/2024,17,2024,April,2,No
4/18/2024,18,2024,April,2,No
4/19/2024,19,2024,April,2,No
4/20/2024,20,2024,April,2,Yes
4/21/2024,21,2024,April,2,Yes
4/22/2024,22,2024,April,2,No
4/23/2024,23,2024,April,2,No
4/24/2024,24,2024,April,2,No
4/25/2024,25,2024,April,2,No
4/26/2024,26,2024,April,2,No
4/27/2024,27,2024,April,2,Yes
4/28/2024,28,2024,April,2,Yes
4/29/2024,29,2024,April,2,No
4/30/2024,30,2024,April,2,No
