TicketID,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type
7f4cbf37-36df-43c3-8046,1:11:49,Online,Credit Card,None,Standard,Advance
0c55613e-657f-4394-818a,2:02:42,Online,Credit Card,None,Standard,Advance
81173925-7ed0-4acd-a9de,2:39:00,Online,Credit Card,None,Standard,Advance
9ecffa15-397a-41e5-9be0,4:18:30,Online,Credit Card,None,Standard,Advance
c35b8599-1e0b-4a16-b400,4:39:28,Online,Credit Card,None,Standard,Advance
faf07d4f-d82a-45af-bbaa,4:40:33,Online,Credit Card,None,Standard,Advance
65c5f11a-93f9-4d61-a416,6:09:36,Online,Credit Card,None,Standard,Advance
1c853909-bdf4-4722-977c,7:58:01,Online,Credit Card,None,Standard,Advance
1b9cd58e-7730-4ff1-b17f,8:21:31,Online,Credit Card,None,Standard,Advance
3cdcd83b-0165-4d12-b355,8:23:11,Online,Credit Card,None,Standard,Advance
d9828a51-91d3-4e53-8457,9:09:46,Online,Credit Card,None,Standard,Advance
00e83427-ac5c-4440-8cc3,17:25:16,Online,Credit Card,None,Standard,Advance
6581b4f3-5da3-4de8-af81,20:19:13,Online,Credit Card,None,Standard,Advance
0b1e9a37-9f55-4bcf-bd60,1:18:09,Online,Credit Card,None,Standard,Advance
8858d583-5a3e-4bc0-9ccd,1:27:37,Online,Credit Card,None,Standard,Advance
301c6697-2c06-4b49-b2ab,6:10:52,Online,Credit Card,None,Standard,Advance
2892454d-4a49-4de5-a4ae,8:22:40,Online,Credit Card,None,Standard,Advance
07ee9c2e-e1fb-4ccb-9e58,8:23:06,Online,Credit Card,None,Standard,Advance
c48880ef-78d8-4eba-a096,8:23:12,Online,Credit Card,None,Standard,Advance
5055e611-54aa-4448-8681,8:24:38,Online,Credit Card,None,Standard,Advance
afd74c45-90ea-4f32-996d,8:25:45,Online,Credit Card,None,Standard,Advance
6d7ec460-9792-4f47-892c,8:28:18,Online,Credit Card,None,Standard,Advance
7083c894-7fac-46a7-8873,8:28:30,Online,Credit Card,None,Standard,Advance
274afd79-996b-4027-96b5,14:23:20,Online,Credit Card,None,Standard,Advance
79f06d8e-369d-43c9-974b,3:35:58,Online,Credit Card,None,Standard,Advance
4537465f-3c5c-4f68-a9f1,3:40:57,Online,Credit Card,None,Standard,Advance
4631f5eb-ace7-40b8-9a52,16:55:46,Online,Credit Card,None,Standard,Advance
22f73bdf-e70c-4814-b92e,17:02:28,Online,Credit Card,None,Standard,Advance
e1c91ca0-af8b-4504-a504,17:07:13,Online,Credit Card,None,Standard,Advance
614efe91-b785-48c7-9f5b,20:19:24,Online,Credit Card,None,Standard,Advance
cfdb66d7-b64d-4f43-ba50,20:22:52,Online,Credit Card,None,Standard,Advance
d239eeb0-999b-4020-98ac,20:23:31,Online,Credit Card,None,Standard,Advance
39c22a16-e8e6-4f5f-aed7,20:23:47,Online,Credit Card,None,Standard,Advance
b3f75504-3f42-4030-94eb,20:24:47,Online,Credit Card,None,Standard,Advance
7ccf29c8-4902-45b7-9fc0,20:26:08,Online,Credit Card,None,Standard,Advance
091d2508-e36f-40c7-9a6b,20:27:51,Online,Credit Card,None,Standard,Advance
767fea59-0d3c-43f0-9f4d,20:28:53,Online,Credit Card,None,Standard,Advance
ddd81bda-bc14-4e59-a739,20:29:34,Online,Credit Card,None,Standard,Advance
05704a71-15d0-4d09-9411,1:10:57,Online,Credit Card,None,Standard,Advance
f2993fd8-addf-477f-85e6,3:58:47,Online,Credit Card,None,Standard,Advance
bd8415ad-a658-442b-af46,8:00:06,Online,Credit Card,None,Standard,Advance
6ff241e9-cbd6-4060-80ef,8:08:30,Online,Credit Card,None,Standard,Advance
f1759b8a-eece-4456-b25e,8:11:40,Online,Credit Card,None,Standard,Advance
5f4669ec-a805-4b34-9919,8:12:16,Online,Credit Card,None,Standard,Advance
93c5408a-d532-4d6b-b3a4,17:53:56,Online,Credit Card,None,Standard,Advance
febe29e5-77a9-4b43-91a8,18:32:36,Online,Credit Card,None,Standard,Advance
1f705842-c5a8-4ae3-9908,18:37:24,Online,Credit Card,None,Standard,Advance
6d83b96f-6fb2-48a3-a604,18:38:32,Online,Credit Card,None,Standard,Advance
c7f4e69c-3b2a-48ea-bece,18:42:40,Online,Credit Card,None,Standard,Advance
8022d46a-aa51-4f9f-9443,20:23:18,Online,Credit Card,None,Standard,Advance
14b623d3-2370-497b-b3a7,21:36:24,Online,Credit Card,None,Standard,Advance
3c4ed888-710e-4a1f-bceb,3:44:23,Online,Credit Card,None,Standard,Advance
5fe730f3-b56a-45ff-9555,6:59:35,Online,Credit Card,None,Standard,Advance
8f4577e3-3ecf-4884-8145,7:50:36,Online,Credit Card,None,Standard,Advance
48f40068-5917-4490-b102,8:20:54,Online,Credit Card,None,Standard,Advance
3d6eb9cf-8d4c-4e19-84ad,8:50:04,Online,Credit Card,None,Standard,Advance
d9cfe44a-bce1-4d4b-84ef,9:06:38,Online,Credit Card,None,Standard,Advance
09204cb9-1ab1-4697-814b,9:06:43,Online,Credit Card,None,Standard,Advance
45247bb7-2842-4364-9b13,9:08:37,Online,Credit Card,None,Standard,Advance
06e2731a-9c90-4410-a2fd,9:10:39,Online,Credit Card,None,Standard,Advance
be6364a4-ffa3-4ff0-a3b4,9:11:52,Online,Credit Card,None,Standard,Advance
6c97848a-a408-44a1-9512,17:45:01,Online,Credit Card,None,Standard,Advance
da379e14-880b-4ded-b2e7,17:47:28,Online,Credit Card,None,Standard,Advance
0bf92dea-6733-44b9-afe9,17:48:05,Online,Credit Card,None,Standard,Advance
