TicketID,DateID,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type
7f4cbf37-36df-43c3-8046,57,1:11:49 AM,Online,Credit Card,None,Standard,Advance
0c55613e-657f-4394-818a,57,2:02:42 AM,Online,Credit Card,None,Standard,Advance
81173925-7ed0-4acd-a9de,57,2:39:00 AM,Online,Credit Card,None,Standard,Advance
9ecffa15-397a-41e5-9be0,57,4:18:30 AM,Online,Credit Card,None,Standard,Advance
c35b8599-1e0b-4a16-b400,57,4:39:28 AM,Online,Credit Card,None,Standard,Advance
faf07d4f-d82a-45af-bbaa,57,4:40:33 AM,Online,Credit Card,None,Standard,Advance
65c5f11a-93f9-4d61-a416,57,6:09:36 AM,Online,Credit Card,None,Standard,Advance
1c853909-bdf4-4722-977c,57,7:58:01 AM,Online,Credit Card,None,Standard,Advance
1b9cd58e-7730-4ff1-b17f,57,8:21:31 AM,Online,Credit Card,None,Standard,Advance
3cdcd83b-0165-4d12-b355,57,8:23:11 AM,Online,Credit Card,None,Standard,Advance
d9828a51-91d3-4e53-8457,57,9:09:46 AM,Online,Credit Card,None,Standard,Advance
00e83427-ac5c-4440-8cc3,57,5:25:16 PM,Online,Credit Card,None,Standard,Advance
6581b4f3-5da3-4de8-af81,57,8:19:13 PM,Online,Credit Card,None,Standard,Advance
0b1e9a37-9f55-4bcf-bd60,57,1:18:09 AM,Online,Credit Card,None,Standard,Advance
8858d583-5a3e-4bc0-9ccd,57,1:27:37 AM,Online,Credit Card,None,Standard,Advance
301c6697-2c06-4b49-b2ab,57,6:10:52 AM,Online,Credit Card,None,Standard,Advance
2892454d-4a49-4de5-a4ae,57,8:22:40 AM,Online,Credit Card,None,Standard,Advance
07ee9c2e-e1fb-4ccb-9e58,57,8:23:06 AM,Online,Credit Card,None,Standard,Advance
c48880ef-78d8-4eba-a096,57,8:23:12 AM,Online,Credit Card,None,Standard,Advance
5055e611-54aa-4448-8681,57,8:24:38 AM,Online,Credit Card,None,Standard,Advance
afd74c45-90ea-4f32-996d,57,8:25:45 AM,Online,Credit Card,None,Standard,Advance
6d7ec460-9792-4f47-892c,57,8:28:18 AM,Online,Credit Card,None,Standard,Advance
7083c894-7fac-46a7-8873,57,8:28:30 AM,Online,Credit Card,None,Standard,Advance
274afd79-996b-4027-96b5,57,2:23:20 PM,Online,Credit Card,None,Standard,Advance
79f06d8e-369d-43c9-974b,57,3:35:58 AM,Online,Credit Card,None,Standard,Advance
